,responses,targets,increments
0,left,second,20.0
1,right,second,50.237728630191604
2,right,second,31.69786384922227
3,left,first,31.69786384922227
4,right,second,31.69786384922227
5,right,second,20.0
6,left,first,20.0
7,left,first,20.0
8,left,first,12.619146889603863
9,right,second,12.619146889603863
10,right,second,12.619146889603863
11,right,second,7.962143411069944
12,right,first,7.962143411069944
13,right,second,12.619146889603863
14,right,second,12.619146889603863
15,right,second,12.619146889603863
16,left,first,10.023744672545444
17,right,second,10.023744672545444
18,right,second,10.023744672545444
19,right,second,7.962143411069944
20,left,first,7.962143411069944
21,left,first,7.962143411069944
22,right,second,6.324555320336757
23,left,first,6.324555320336757
24,left,second,6.324555320336757
